FileName,F1-Score
2023-10-18_08-05-29.palm,0.28451545535785766
2023-10-25_11-08-46.palm,0.40744083528887776
2023-05-07_16-54-27.palm,0.7282556139502285
2023-05-15_17-12-24.palm,0.74052365798363
2023-09-13_22-14-05.palm,0.784541807488905
2023-09-12_14-59-23.palm,0.7848546200074401
2023-10-18_11-16-21.palm,0.8051244314876865
2023-06-05_16-12-38.palm,0.8084253644773732
2023-06-20_12-34-17.palm,0.8118467157304181
2023-10-23_14-07-13.palm,0.8148001709091717
2023-09-30_08-06-44.palm,0.818833657413616
2023-06-20_14-43-11.palm,0.8278882949125325
2023-05-12_19-17-00.palm,0.8331279321899798
2023-10-23_16-23-02.palm,0.8346720962195571
2023-06-20_13-30-15.palm,0.8375753389758287
2023-06-05_17-53-01.palm,0.8427007949278625
2023-05-07_15-19-05.palm,0.8480473468296679
2023-09-12_12-55-22.palm,0.8583176889169886
2023-09-29_09-20-47.palm,0.8708091270415917
2023-05-15_16-16-08.palm,0.8708412094720028
2023-10-25_08-52-30.palm,0.8796461366719659
2023-09-29_11-03-50.palm,0.9035133285801351
2023-05-31_17-14-41.palm,0.927287530381533
2023-05-31_15-46-37.palm,0.9432538607823429
2023-10-23_10-11-45.palm,0.9517190354197059
2023-05-22_20-22-01.palm,0.9523162928979838
2023-05-19_12-04-02.palm,0.953180822997938
2023-05-22_17-04-29.palm,0.9595105704693129
2023-05-05_17-57-30.palm,0.9633834428304568
